epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1300,1.12999,1.35307,1.53377,0.79589,0.66667,0.76703,0.33777,1.82999,2.32444,2.55721,0.000660045,0.000660045,0.000660045
43,1325.11,1.0881,1.24007,1.51342,0.56869,0.61126,0.67619,0.28285,1.7913,2.44082,2.57218,0.000649046,0.000649046,0.000649046
44,1350.32,1.05953,1.19385,1.47597,0.76987,0.64932,0.69298,0.30011,1.79165,2.26702,2.67102,0.000638047,0.000638047,0.000638047
45,1375.41,1.01474,1.12313,1.46338,0.80438,0.65697,0.74896,0.36211,1.94112,1.80783,2.95555,0.000627048,0.000627048,0.000627048
46,1400.56,1.11914,1.27349,1.4887,0.84886,0.77583,0.85825,0.37268,1.8551,1.88334,2.69848,0.000616049,0.000616049,0.000616049
47,1426.68,1.14758,1.3334,1.54795,0.74926,0.68142,0.83758,0.30548,2.05503,2.20674,2.93151,0.000605051,0.000605051,0.000605051
48,1455.96,1.12893,1.2368,1.54584,0.96467,0.5,0.76043,0.33264,1.7945,2.30938,2.47343,0.000594052,0.000594052,0.000594052
49,1484.09,1.08045,1.24777,1.47096,0.88883,0.61111,0.72586,0.3545,1.64211,2.3182,2.27654,0.000583053,0.000583053,0.000583053
50,1512.5,1.02955,1.2258,1.49001,0.89021,0.66284,0.7475,0.30687,1.79286,2.13831,2.54208,0.000572054,0.000572054,0.000572054
51,1538.94,0.95558,1.13667,1.41045,0.89718,0.61648,0.85148,0.37124,1.89721,1.98743,2.63765,0.000561055,0.000561055,0.000561055
52,1564.34,0.95532,1.10728,1.38898,0.88614,0.79722,0.87125,0.41458,1.73945,1.83569,2.38959,0.000550056,0.000550056,0.000550056
53,1590.86,0.98775,1.09188,1.39661,0.87749,0.76671,0.841,0.43332,1.6574,1.8786,2.33826,0.000539057,0.000539057,0.000539057
54,1615.59,1.09033,1.12637,1.51027,0.88265,0.76847,0.83183,0.44623,1.69869,1.92997,2.42559,0.000528058,0.000528058,0.000528058
55,1640.96,1.0047,1.03413,1.43814,0.85434,0.77925,0.84737,0.40747,1.77748,1.93586,2.57219,0.000517059,0.000517059,0.000517059
56,1666.42,1.0478,1.13391,1.50964,0.96526,0.77449,0.918,0.39036,1.98558,1.83649,2.97448,0.00050606,0.00050606,0.00050606
57,1699.71,1.04153,1.08794,1.40783,0.97545,0.83384,0.92167,0.4199,1.95395,1.79712,2.8827,0.000495062,0.000495062,0.000495062
58,1730.43,1.03677,1.1579,1.42632,0.96944,0.84658,0.951,0.48376,1.74834,1.73909,2.44804,0.000484063,0.000484063,0.000484063
59,1755.51,0.99474,1.06156,1.43103,0.98156,0.74734,0.9125,0.46556,1.57173,1.80638,2.21823,0.000473064,0.000473064,0.000473064
60,1780.81,0.96677,0.98033,1.37026,0.96176,0.73674,0.92625,0.40517,1.74515,1.84295,2.38923,0.000462065,0.000462065,0.000462065
61,1805.99,1.05013,1.18719,1.44999,0.66212,0.74241,0.71385,0.33016,1.84721,1.84283,2.48368,0.000451066,0.000451066,0.000451066
62,1830.83,0.97914,1.0701,1.37764,0.65089,0.7221,0.7145,0.34902,1.78281,1.78187,2.39319,0.000440067,0.000440067,0.000440067
63,1855.57,0.91497,0.96732,1.33597,0.83185,0.64554,0.85148,0.38655,1.76204,1.71574,2.32426,0.000429068,0.000429068,0.000429068
64,1880.71,0.98102,1.05853,1.41924,0.95095,0.7333,0.9125,0.42266,1.83353,1.79269,2.46532,0.000418069,0.000418069,0.000418069
65,1905.88,0.85325,0.94724,1.30796,0.75978,0.75637,0.94,0.35691,1.98185,2.00892,2.80891,0.00040707,0.00040707,0.00040707
66,1931.28,0.94999,1.04038,1.36746,0.79906,0.88175,0.896,0.32945,2.02107,2.02226,2.90761,0.000396071,0.000396071,0.000396071
67,1958.75,0.91626,0.98763,1.3561,0.83086,0.66667,0.896,0.39118,1.84969,1.89251,2.68659,0.000385073,0.000385073,0.000385073
68,1990.32,0.90365,1.00345,1.35626,0.81215,0.76034,0.94,0.50168,1.64806,1.66608,2.38083,0.000374074,0.000374074,0.000374074
69,2019.81,0.8796,0.92655,1.35374,0.84594,0.77778,0.94,0.47867,1.7104,1.6434,2.48555,0.000363075,0.000363075,0.000363075
70,2050.15,0.85374,0.91442,1.32471,0.83521,0.77778,0.94,0.44326,1.77125,1.66695,2.59828,0.000352076,0.000352076,0.000352076
71,2079.32,0.87851,1.03449,1.3551,0.72832,0.76637,0.9125,0.41406,1.74358,1.62929,2.57721,0.000341077,0.000341077,0.000341077
72,2104.47,0.88078,0.94431,1.29832,0.90115,0.66667,0.82214,0.44087,1.5922,1.67199,2.30399,0.000330078,0.000330078,0.000330078
73,2129.37,0.91747,1.00596,1.32524,0.93014,0.66667,0.797,0.44026,1.56749,1.69163,2.25332,0.000319079,0.000319079,0.000319079
74,2154.55,0.87779,0.93235,1.33232,0.948,0.66667,0.81625,0.47604,1.4961,1.54625,2.20796,0.00030808,0.00030808,0.00030808
75,2180.69,0.8173,0.95604,1.33057,0.90797,0.74214,0.88814,0.40993,1.66425,1.66284,2.46975,0.000297081,0.000297081,0.000297081
76,2207.25,0.87105,0.96288,1.32526,0.90839,0.76951,0.89875,0.3442,1.74108,1.66197,2.53606,0.000286083,0.000286083,0.000286083
77,2233.42,0.87003,0.87917,1.28926,0.9179,0.76339,0.90464,0.42337,1.63105,1.62985,2.34756,0.000275084,0.000275084,0.000275084
78,2262.37,0.80041,0.8271,1.29914,0.91418,0.77053,0.90464,0.44618,1.63047,1.55885,2.30407,0.000264085,0.000264085,0.000264085
79,2289.19,0.78188,0.86965,1.28938,0.91449,0.76135,0.89875,0.45255,1.69925,1.56035,2.37453,0.000253086,0.000253086,0.000253086
80,2315.62,0.91104,0.90183,1.39387,0.98843,0.74455,0.9125,0.43734,1.81456,1.77142,2.63347,0.000242087,0.000242087,0.000242087
81,2342.61,0.83496,0.83146,1.28325,0.98857,0.74783,0.9235,0.44334,1.89645,1.69151,2.79228,0.000231088,0.000231088,0.000231088
82,2368.34,0.85612,0.93662,1.31155,0.86315,0.85473,0.94,0.4222,1.92206,1.63518,2.81298,0.000220089,0.000220089,0.000220089
83,2394.41,0.81475,0.83994,1.25567,0.89072,0.87328,0.94,0.41542,1.88,1.59183,2.71143,0.00020909,0.00020909,0.00020909
84,2420.28,0.79567,0.8569,1.24872,0.91056,0.86763,0.9235,0.41071,1.8142,1.56024,2.54986,0.000198091,0.000198091,0.000198091
85,2445.7,0.71322,0.87451,1.21189,1,0.7967,0.951,0.45489,1.756,1.50638,2.42933,0.000187092,0.000187092,0.000187092
86,2472.15,0.75133,0.79348,1.22975,0.98868,0.82652,0.951,0.45862,1.73273,1.51018,2.39898,0.000176094,0.000176094,0.000176094
87,2499.46,0.77346,0.8371,1.25162,0.96704,0.8537,0.9675,0.43294,1.75702,1.49175,2.45059,0.000165095,0.000165095,0.000165095
88,2526.21,0.74588,0.77198,1.22484,0.88329,0.77005,0.94,0.4281,1.82781,1.49214,2.60251,0.000154096,0.000154096,0.000154096
89,2552.55,0.69215,0.81524,1.20464,0.89015,0.75546,0.94,0.44875,1.8144,1.44556,2.60449,0.000143097,0.000143097,0.000143097
90,2577.6,0.72081,0.78926,1.19231,0.87296,0.86939,0.94,0.43992,1.80851,1.42667,2.61496,0.000132098,0.000132098,0.000132098
91,2603.96,0.6525,0.95235,1.28173,0.87563,0.87652,0.9235,0.42263,1.83274,1.37093,2.65967,0.000121099,0.000121099,0.000121099
92,2628.97,0.60644,0.86614,1.23376,0.87823,0.87886,0.896,0.41013,1.86284,1.42247,2.73035,0.0001101,0.0001101,0.0001101
93,2653.9,0.58506,0.8776,1.23897,0.88303,0.86945,0.896,0.39659,1.91341,1.47919,2.87162,9.91012e-05,9.91012e-05,9.91012e-05
94,2682.27,0.56481,0.87746,1.24226,0.88326,0.87091,0.9235,0.42523,1.92296,1.47346,2.87883,8.81023e-05,8.81023e-05,8.81023e-05
95,2709.12,0.58965,0.85914,1.23158,0.88009,0.86513,0.9235,0.41933,1.86383,1.5473,2.79963,7.71034e-05,7.71034e-05,7.71034e-05
96,2735.41,0.56477,0.88851,1.23377,0.86495,0.85767,0.9125,0.41619,1.84893,1.56551,2.81607,6.61045e-05,6.61045e-05,6.61045e-05
97,2761.93,0.56999,0.83029,1.25547,0.87219,0.85893,0.9125,0.41088,1.84222,1.56487,2.82529,5.51056e-05,5.51056e-05,5.51056e-05
98,2788.13,0.52362,0.7847,1.18354,0.87354,0.86315,0.9125,0.41896,1.82974,1.55641,2.80955,4.41067e-05,4.41067e-05,4.41067e-05
99,2822.46,0.52919,0.77362,1.21147,0.87382,0.88889,0.9125,0.42943,1.82886,1.55815,2.79835,3.31078e-05,3.31078e-05,3.31078e-05
100,2854.59,0.53159,0.76252,1.2054,0.87607,0.87388,0.9125,0.43231,1.82642,1.52941,2.79565,2.21089e-05,2.21089e-05,2.21089e-05
